Q,A
What was basis and contain numerous different clauses. these leases are generally entered into for terms of in 2023?,basis and contain numerous different clauses. These leases are generally entered into for terms of in 2023 was €5 million.
What was basis and contain numerous different clauses. these leases are generally entered into for terms of in 2024?,basis and contain numerous different clauses. These leases are generally entered into for terms of in 2024 was €3 million.
What was the group leases vehicles for certain employees in france and internationally. these leases are generally entered into for terms of in 2023?,The Group leases vehicles for certain employees in France and internationally. These leases are generally entered into for terms of in 2023 was €5 million.
What was the group leases vehicles for certain employees in france and internationally. these leases are generally entered into for terms of in 2024?,The Group leases vehicles for certain employees in France and internationally. These leases are generally entered into for terms of in 2024 was €3 million.
What was december in 2023?,"December in 2023 was €2,024 million."
What was december in 2024?,December in 2024 was €31 million.
What was at january in 2023?,"At January in 2023 was €2,023 million."
What was at january in 2024?,At January in 2024 was €1 million.
What was at december in 2023?,"At December in 2023 was €2,024 million."
What was at december in 2024?,At December in 2024 was €31 million.
What was lease liabilities amounted to € in 2023?,"Lease liabilities amounted to € in 2023 was €2,023 million."
What was lease liabilities amounted to € in 2024?,Lease liabilities amounted to € in 2024 was €31 million.
What was no impairment losses were recognized at december in 2023?,"No impairment losses were recognized at December in 2023 was €2,024 million."
What was no impairment losses were recognized at december in 2024?,No impairment losses were recognized at December in 2024 was €31 million.
What was cash generating units as of december in 2023?,"Cash Generating Units as of December in 2023 was €2,024 million."
What was cash generating units as of december in 2024?,Cash Generating Units as of December in 2024 was €31 million.
What was between in 2023?,Between in 2023 was €15 million.
What was between in 2024?,Between in 2024 was €11 million.
What was tax loss carry-forwards total € in 2023?,"Tax loss carry-forwards total € in 2023 was €2,023 million."
What was tax loss carry-forwards total € in 2024?,Tax loss carry-forwards total € in 2024 was €31 million.
What was amount of € in 2023?,"amount of € in 2023 was €2,023 million."
What was amount of € in 2024?,amount of € in 2024 was €31 million.
What was in the amount of € in 2023?,in the amount of € in 2023 was €541 million.
What was in the amount of € in 2024?,in the amount of € in 2024 was €45 million.
"What was at december at December 31, 2018?","At December at December 31, 2018 was €109 million."
"What was at december at December 31, 2019?","At December at December 31, 2019 was €274 million."
"What was at december at December 31, 2029?","At December at December 31, 2029 was €2,024 million."
"What was contracts of € at December 31, 2018?","contracts of € at December 31, 2018 was €2,023 million."
"What was contracts of € at December 31, 2019?","contracts of € at December 31, 2019 was €31 million."
"What was contracts of € at December 31, 2029?","contracts of € at December 31, 2029 was €334 million."
